Compuerta,Entradas,Alpha,Epocas,EC_final,Exactitud
AND,2,0.001,1000,0.129027415173537,100
AND,2,0.01,327,0.127588484155886,100
AND,2,0.05,67,0.138455060798892,100
AND,2,0.1,27,0.154072339438487,100
AND,2,0.2,47,0.195306956874512,100
AND,2,0.5,20,0.499999444122144,75
AND,2,1,1000,499429.998819577,50
AND,3,0.001,1000,0.258993865114508,87.5
AND,3,0.01,282,0.258305084576728,100
AND,3,0.05,115,0.295299985266028,100
AND,3,0.1,71,0.351554288317606,100
AND,3,0.2,43,0.506837369025725,87.5
AND,3,0.5,27,1.24444318555182,62.5
AND,3,1,504,Inf,87.5
AND,4,0.001,1000,0.345574170054014,93.75
AND,4,0.01,186,0.35946193611739,93.75
AND,4,0.05,59,0.429169946526224,93.75
AND,4,0.1,42,0.530706963649709,100
AND,4,0.2,35,0.761818594292978,81.25
AND,4,0.5,30,1.80676001242463,56.25
AND,4,1,96,Inf,6.25
OR,2,0.001,1000,0.133331758948579,100
OR,2,0.01,435,0.12760814516869,100
OR,2,0.05,104,0.138498523851933,100
OR,2,0.1,49,0.154273314147119,100
OR,2,0.2,20,0.195058396164581,100
OR,2,0.5,19,0.499999204813956,75
OR,2,1,1000,499072.98880147,0
OR,3,0.001,1000,0.260793121506533,100
OR,3,0.01,309,0.254438800531873,100
OR,3,0.05,53,0.272661735718813,87.5
OR,3,0.1,66,0.297550183894491,87.5
OR,3,0.2,40,0.351729065757586,87.5
OR,3,0.5,24,0.61111030656877,87.5
OR,3,1,504,Inf,12.5
OR,4,0.001,1000,0.355685342035546,93.75
OR,4,0.01,237,0.349030328618212,93.75
OR,4,0.05,86,0.369701803624103,93.75
OR,4,0.1,51,0.393658911941817,93.75
OR,4,0.2,34,0.435314217419659,93.75
OR,4,0.5,23,0.654953039716647,93.75
OR,4,1,96,Inf,6.25
