Escalado,Particion,Alpha,Epocas,EC_final,Exact_train,Exact_test
0,60-40,0.0001,225,13.1766438996415,97.9343863912515,96.7213114754098
0,60-40,0.001,41,13.9383757422662,98.0558930741191,97.4499089253188
0,60-40,0.005,11,18.9251830708513,97.5698663426489,96.5391621129326
0,60-40,0.01,6,39.0029462221173,95.3827460510328,93.9890710382514
0,60-40,0.05,2,Inf,37.1810449574727,36.0655737704918
0,70-30,0.0001,199,15.2026186631694,98.0208333333333,96.1165048543689
0,70-30,0.001,36,16.0786443296986,98.5416666666667,96.3592233009709
0,70-30,0.005,10,21.9612591024294,98.75,97.0873786407767
0,70-30,0.01,6,46.7719531610474,98.3333333333333,97.3300970873786
0,70-30,0.05,2,Inf,44.4791666666667,44.4174757281553
0,80-20,0.0001,180,18.7540764192671,97.9963570127505,97.4452554744526
0,80-20,0.001,31,19.7117652174654,97.5409836065574,97.4452554744526
0,80-20,0.005,8,26.4692271023719,95.8105646630237,96.3503649635037
0,80-20,0.01,5,56.0447006046705,93.7158469945355,92.3357664233577
0,80-20,0.05,1,Inf,30.9653916211293,34.3065693430657
0,90-10,0.0001,162,20.6769280062994,97.8137651821862,96.3503649635037
0,90-10,0.001,28,21.7829725931327,97.3279352226721,96.3503649635037
0,90-10,0.005,8,29.1482119163898,96.6801619433198,96.3503649635037
0,90-10,0.01,5,60.4755494092223,96.2753036437247,94.8905109489051
0,90-10,0.05,1,Inf,61.3765182186235,62.043795620438
1,60-40,0.0001,500,51.8066858339297,87.363304981774,88.8888888888889
1,60-40,0.001,500,14.0978684449144,98.4204131227218,96.9034608378871
1,60-40,0.005,410,13.1759624415709,97.6913730255164,96.5391621129326
1,60-40,0.01,229,13.2846507753849,97.3268529769137,96.5391621129326
1,60-40,0.05,61,14.0298537637342,97.2053462940462,96.3570127504554
1,70-30,0.0001,500,56.2592769305103,87.9166666666667,90.7766990291262
1,70-30,0.001,500,15.7247882177153,98.2291666666667,96.1165048543689
1,70-30,0.005,340,15.2100907503002,98.3333333333333,96.1165048543689
1,70-30,0.01,188,15.3342326391199,98.3333333333333,96.1165048543689
1,70-30,0.05,53,16.1859806547632,97.9166666666667,95.873786407767
1,80-20,0.0001,500,60.4979746577443,88.3424408014572,91.6058394160584
1,80-20,0.001,500,19.0437348017805,97.9963570127505,97.4452554744526
1,80-20,0.005,287,18.7239457251666,98.0874316939891,97.8102189781022
1,80-20,0.01,154,18.8620803908257,98.0874316939891,97.8102189781022
1,80-20,0.05,46,19.9121990824863,97.7231329690346,97.4452554744526
1,90-10,0.0001,500,63.4810293526325,89.7165991902834,93.4306569343066
1,90-10,0.001,500,20.8082504007833,97.8137651821862,96.3503649635037
1,90-10,0.005,270,20.652836668403,97.8137651821862,96.3503649635037
1,90-10,0.01,148,20.7984954741713,97.5708502024291,96.3503649635037
1,90-10,0.05,42,21.8837130997216,96.9230769230769,96.3503649635037
