Problema,Particion,Alpha,Epocas,EC_final,Convergio,Exact_train,Exact_test
A: setosa vs resto,60-40,0.001,500,0.959249671721355,0,100,100
A: setosa vs resto,60-40,0.005,500,0.945321510286533,0,100,100
A: setosa vs resto,60-40,0.01,500,0.948540447177195,0,100,100
A: setosa vs resto,60-40,0.05,500,0.966194842449465,0,100,100
A: setosa vs resto,60-40,0.1,337,1.00792988150884,1,100,100
A: setosa vs resto,70-30,0.001,500,1.11640655562193,0,100,100
A: setosa vs resto,70-30,0.005,500,1.10778918683647,0,100,100
A: setosa vs resto,70-30,0.01,500,1.11139269199465,0,100,100
A: setosa vs resto,70-30,0.05,464,1.12720965523746,1,100,100
A: setosa vs resto,70-30,0.1,290,1.17917128356222,1,100,100
A: setosa vs resto,80-20,0.001,500,1.32272510058765,0,100,100
A: setosa vs resto,80-20,0.005,500,1.30446811759569,0,100,100
A: setosa vs resto,80-20,0.01,500,1.30283410377512,0,100,100
A: setosa vs resto,80-20,0.05,458,1.30711232922029,1,100,100
A: setosa vs resto,80-20,0.1,273,1.36637519564673,1,100,100
A: setosa vs resto,90-10,0.001,500,1.50203878152745,0,100,100
A: setosa vs resto,90-10,0.005,500,1.47099381526305,0,100,100
A: setosa vs resto,90-10,0.01,500,1.46393705221418,0,100,100
A: setosa vs resto,90-10,0.05,417,1.47401451750915,1,100,100
A: setosa vs resto,90-10,0.1,237,1.53807459058896,1,100,100
B: versicolor vs virginica,60-40,0.001,500,1.53004119987519,0,98.2142857142857,93.1818181818182
B: versicolor vs virginica,60-40,0.005,500,1.34618474110162,0,98.2142857142857,93.1818181818182
B: versicolor vs virginica,60-40,0.01,500,1.35631627146109,0,98.2142857142857,93.1818181818182
B: versicolor vs virginica,60-40,0.05,283,1.46715371185195,1,98.2142857142857,93.1818181818182
B: versicolor vs virginica,60-40,0.1,208,1.60362930687382,1,98.2142857142857,95.4545454545455
B: versicolor vs virginica,70-30,0.001,500,1.79475469295007,0,98.5294117647059,90.625
B: versicolor vs virginica,70-30,0.005,500,1.6266346258849,0,98.5294117647059,90.625
B: versicolor vs virginica,70-30,0.01,500,1.63589687787689,0,98.5294117647059,90.625
B: versicolor vs virginica,70-30,0.05,238,1.74339445424332,1,98.5294117647059,90.625
B: versicolor vs virginica,70-30,0.1,167,1.86655265091616,1,98.5294117647059,90.625
B: versicolor vs virginica,80-20,0.001,500,2.41436966450639,0,98.7341772151899,95.2380952380952
B: versicolor vs virginica,80-20,0.005,500,2.27378418214057,0,97.4683544303797,95.2380952380952
B: versicolor vs virginica,80-20,0.01,500,2.2715496580844,0,97.4683544303797,95.2380952380952
B: versicolor vs virginica,80-20,0.05,182,2.42468384188064,1,98.7341772151899,95.2380952380952
B: versicolor vs virginica,80-20,0.1,85,2.61281741135358,1,97.4683544303797,90.4761904761905
B: versicolor vs virginica,90-10,0.001,500,2.64348548307491,0,96.7391304347826,100
B: versicolor vs virginica,90-10,0.005,500,2.53482451670561,0,97.8260869565217,100
B: versicolor vs virginica,90-10,0.01,500,2.53820957878479,0,97.8260869565217,100
B: versicolor vs virginica,90-10,0.05,197,2.71537557219087,1,95.6521739130435,100
B: versicolor vs virginica,90-10,0.1,97,2.92912680458372,1,96.7391304347826,100
