Tol_cambio,Umbral,Epocas,EC_final,Exactitud
0.01,0.3,6,0.16221409140808,75
0.01,0.5,6,0.16221409140808,100
0.01,0.7,6,0.16221409140808,100
0.001,0.3,13,0.146396178424953,75
0.001,0.5,13,0.146396178424953,100
0.001,0.7,13,0.146396178424953,100
0.0001,0.3,34,0.13921094449662,100
0.0001,0.5,34,0.13921094449662,100
0.0001,0.7,34,0.13921094449662,100
1e-05,0.3,54,0.138501944473231,100
1e-05,0.5,54,0.138501944473231,100
1e-05,0.7,54,0.138501944473231,100
1e-06,0.3,67,0.138455060798892,100
1e-06,0.5,67,0.138455060798892,100
1e-06,0.7,67,0.138455060798892,100
