Compuerta,Entradas,Alpha,Epocas_prom,Convergio_pct
AND,2,0.01,24.2,100
AND,2,0.05,6.9,100
AND,2,0.1,4.85,100
AND,2,0.3,5.25,100
AND,2,0.5,4.6,100
AND,2,1,4.8,100
AND,3,0.01,18,100
AND,3,0.05,7.75,100
AND,3,0.1,7.4,100
AND,3,0.3,9.1,100
AND,3,0.5,7.75,100
AND,3,1,7.95,100
AND,4,0.01,20.9,100
AND,4,0.05,14.25,100
AND,4,0.1,14,100
AND,4,0.3,15.4,100
AND,4,0.5,17.45,100
AND,4,1,17.95,100
OR,2,0.01,27.8,100
OR,2,0.05,6.85,100
OR,2,0.1,4.55,100
OR,2,0.3,3.05,100
OR,2,0.5,3,100
OR,2,1,4,100
OR,3,0.01,23.85,100
OR,3,0.05,6.4,100
OR,3,0.1,4,100
OR,3,0.3,3.5,100
OR,3,0.5,3.7,100
OR,3,1,5,100
OR,4,0.01,24.1,100
OR,4,0.05,6.25,100
OR,4,0.1,4.2,100
OR,4,0.3,3.65,100
OR,4,0.5,4.2,100
OR,4,1,6,100
