Problema,Particion,Alpha,Epocas,Convergio,Exact_train,Exact_test
A: setosa vs resto,60-40,0.01,17,1,100,100
A: setosa vs resto,60-40,0.05,5,1,100,100
A: setosa vs resto,60-40,0.1,4,1,100,100
A: setosa vs resto,60-40,0.5,2,1,100,100
A: setosa vs resto,60-40,1,2,1,100,100
A: setosa vs resto,70-30,0.01,15,1,100,100
A: setosa vs resto,70-30,0.05,5,1,100,100
A: setosa vs resto,70-30,0.1,4,1,100,100
A: setosa vs resto,70-30,0.5,2,1,100,100
A: setosa vs resto,70-30,1,2,1,100,100
A: setosa vs resto,80-20,0.01,16,1,100,100
A: setosa vs resto,80-20,0.05,6,1,100,100
A: setosa vs resto,80-20,0.1,4,1,100,100
A: setosa vs resto,80-20,0.5,2,1,100,100
A: setosa vs resto,80-20,1,2,1,100,100
A: setosa vs resto,90-10,0.01,16,1,100,100
A: setosa vs resto,90-10,0.05,6,1,100,100
A: setosa vs resto,90-10,0.1,4,1,100,100
A: setosa vs resto,90-10,0.5,2,1,100,100
A: setosa vs resto,90-10,1,2,1,100,100
B: versicolor vs virginica,60-40,0.01,200,0,94.6428571428571,93.1818181818182
B: versicolor vs virginica,60-40,0.05,200,0,96.4285714285714,90.9090909090909
B: versicolor vs virginica,60-40,0.1,17,1,100,93.1818181818182
B: versicolor vs virginica,60-40,0.5,200,0,98.2142857142857,93.1818181818182
B: versicolor vs virginica,60-40,1,11,1,100,93.1818181818182
B: versicolor vs virginica,70-30,0.01,200,0,98.5294117647059,87.5
B: versicolor vs virginica,70-30,0.05,200,0,98.5294117647059,87.5
B: versicolor vs virginica,70-30,0.1,200,0,98.5294117647059,90.625
B: versicolor vs virginica,70-30,0.5,200,0,98.5294117647059,90.625
B: versicolor vs virginica,70-30,1,200,0,98.5294117647059,90.625
B: versicolor vs virginica,80-20,0.01,200,0,98.7341772151899,95.2380952380952
B: versicolor vs virginica,80-20,0.05,75,1,100,90.4761904761905
B: versicolor vs virginica,80-20,0.1,200,0,98.7341772151899,90.4761904761905
B: versicolor vs virginica,80-20,0.5,200,0,98.7341772151899,90.4761904761905
B: versicolor vs virginica,80-20,1,200,0,96.2025316455696,90.4761904761905
B: versicolor vs virginica,90-10,0.01,200,0,97.8260869565217,100
B: versicolor vs virginica,90-10,0.05,200,0,94.5652173913043,100
B: versicolor vs virginica,90-10,0.1,200,0,95.6521739130435,100
B: versicolor vs virginica,90-10,0.5,200,0,94.5652173913043,100
B: versicolor vs virginica,90-10,1,200,0,94.5652173913043,100
