Problema,Paso,Epocas_perceptron,Exact_perceptron,Epocas_adaline,Exact_adaline
A: setosa vs resto,T0_crudo,2,100,372,100
A: setosa vs resto,T1_outliers,2,100,346,100
A: setosa vs resto,T2_balanceado,2,100,346,100
A: setosa vs resto,T3_estandarizado,2,100,40,100
A: setosa vs resto,T4_normalizado,4,100,500,100
B: versicolor vs virginica,T0_crudo,200,100,500,93.3333333333333
B: versicolor vs virginica,T1_outliers,200,100,500,93.3333333333333
B: versicolor vs virginica,T2_balanceado,200,100,500,93.3333333333333
B: versicolor vs virginica,T3_estandarizado,200,96.6666666666667,211,100
B: versicolor vs virginica,T4_normalizado,200,90,500,100
